Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Interest",Time
"CLY00 (Cash)",46.53,0.47,,46.53,46.53,46.06,,,07/14/17
"CLQ17 (Aug '17)",46.54,0.46,46.08,46.74,45.8,46.08,708905,215983,07/14/17
"CLU17 (Sep '17)",46.75,0.5,46.26,46.93,45.97,46.25,344863,522219,07/14/17
"CLV17 (Oct '17)",46.92,0.52,46.41,47.07,46.13,46.4,90723,157762,07/14/17
"CLX17 (Nov '17)",47.12,0.52999999999999,46.62,47.26,46.33,46.59,45697,103904,07/14/17
"CLZ17 (Dec '17)",47.35,0.54,46.84,47.49,46.55,46.81,86900,323766,07/14/17
"CLF18 (Jan '18)",47.55,0.55,47.04,47.72,46.75,47,24248,107677,07/14/17
"CLG18 (Feb '18)",47.71,0.55,47.28,47.81,47.01,47.16,8432,44489,07/14/17
"CLH18 (Mar '18)",47.86,0.55,47.37,47.97,47.18,47.31,13516,61633,07/14/17
"CLJ18 (Apr '18)",47.99,0.55,47.52,48.01,47.28,47.44,3045,25825,07/14/17
"CLK18 (May '18)",48.1,0.54,47.56,48.13,47.41,47.56,3038,26844,07/14/17
"CLM18 (Jun '18)",48.21,0.53,47.68,48.29,47.46,47.68,20212,123114,07/14/17
"CLN18 (Jul '18)",48.3,0.52,48.24,48.39,47.97,47.78,2126,21978,07/14/17
"CLQ18 (Aug '18)",48.41,0.51,0,48.41,48.41,47.9,1793,13432,07/14/17
"CLU18 (Sep '18)",48.52,0.5,0,48.52,48.52,48.02,3164,35537,07/14/17
"CLV18 (Oct '18)",48.64,0.49,0,48.64,48.64,48.15,1483,13775,07/14/17
"CLX18 (Nov '18)",48.76,0.48,0,48.76,48.76,48.28,1556,17814,07/14/17
"CLZ18 (Dec '18)",48.89,0.48,48.41,48.98,48.14,48.41,33085,169855,07/14/17
"CLF19 (Jan '19)",48.98,0.48,0,48.98,48.98,48.5,1231,16075,07/14/17
"CLG19 (Feb '19)",49.07,0.47,0,49.07,49.07,48.6,163,5977,07/14/17
"CLH19 (Mar '19)",49.17,0.46,0,49.17,49.17,48.71,1009,17494,07/14/17
